Symbol,Entry_Type,Entry_Date,Entry_Price,Avg_Entry_Price,Current_Price,Entry_Slope_Original,Entry_Slope_Current,Exit_Slope_Current,Unrealized_PnL,Unrealized_PnL_Pct,Exit_Signal_Risk,Recommended_Level,Recommended_Multiplier,Recommended_Position_Size,Recommended_Shares,Current_Holdings_Shares,Holdings_vs_Recommendation
MMSI,first_entry,2025-11-08,$87.28,$87.28,$85.09,1.66%,0.94%,-0.26%,$-173.01,-2.5%,NO,SKIP,0.0x,$0,0,79,N/A
ADMA,first_entry,2025-08-04,$19.54,$19.54,$15.56,1.61%,0.84%,-0.65%,$-1440.76,-20.4%,NO,SKIP,0.0x,$0,0,362,N/A
MASI,first_entry,2025-10-07,$149.35,$149.35,$151.12,1.63%,0.78%,0.16%,$83.19,1.2%,NO,SKIP,0.0x,$0,0,47,N/A
VECO,first_entry | pyramid,2025-08-08 | 2025-08-12,$22.95 | $24.15,$23.44,$29.18,2.21%,0.74%,1.06%,$2951.42,24.5%,NO,SKIP,0.0x,$0,0,514,N/A
GOOG,first_entry,2025-07-07,$180.14,$180.14,$276.98,1.65%,0.70%,1.31%,$3679.92,53.8%,NO,SKIP,0.0x,$0,0,38,N/A
GOOGL,first_entry | pyramid,2025-07-19 | 2025-07-23,$186.25 | $191.50,$188.42,$276.41,1.48%,0.69%,1.31%,$5543.58,46.7%,NO,SKIP,0.0x,$0,0,63,N/A
ICLN,first_entry,2025-07-07,$13.71,$13.71,$17.02,1.77%,0.65%,1.17%,$1674.86,24.1%,NO,SKIP,0.0x,$0,0,506,N/A
AMKR,first_entry | pyramid,2025-05-16 | 2025-05-20,$19.85 | $19.16,$19.56,$31.68,3.26%,0.51%,1.94%,$7395.01,62.0%,NO,SKIP,0.0x,$0,0,610,N/A
ALGN,pyramid,2025-10-23,$136.11,$136.11,$137.13,1.53%,0.47%,0.01%,$36.72,0.7%,NO,SKIP,0.0x,$0,0,36,N/A
AGYS,pyramid,2025-10-15,$112.25,$112.25,$129.50,2.09%,0.43%,0.93%,$759.00,15.4%,NO,SKIP,0.0x,$0,0,44,N/A
VICR,first_entry | pyramid,2025-10-19 | 2025-10-23,$59.66 | $84.36,$67.66,$89.00,9.52%,0.43%,3.88%,$3819.26,31.5%,NO,SKIP,0.0x,$0,0,179,N/A
LOGI,first_entry | pyramid,2025-10-31 | 2025-11-04,$120.64 | $119.54,$120.19,$118.02,3.01%,0.34%,0.67%,$-210.14,-1.8%,NO,SKIP,0.0x,$0,0,97,N/A
AAPL,first_entry | pyramid,2025-08-12 | 2025-08-16,$228.01 | $231.70,$229.53,$272.41,2.59%,0.33%,0.88%,$2186.91,18.7%,NO,SKIP,0.0x,$0,0,51,N/A
SSSS,first_entry,2025-11-04,$9.99,$9.99,$9.80,3.33%,0.20%,0.62%,$-130.34,-1.9%,NO,SKIP,0.0x,$0,0,686,N/A
ARWR,first_entry | pyramid,2025-08-16 | 2025-08-20,$20.50 | $19.83,$20.22,$41.26,6.47%,0.19%,2.84%,$12458.09,104.1%,NO,SKIP,0.0x,$0,0,592,N/A
ATXS,first_entry | pyramid,2025-09-09 | 2025-09-13,$7.47 | $7.43,$7.45,$12.57,3.70%,-0.04%,4.07%,$8258.28,68.6%,NO,SKIP,0.0x,$0,0,1614,N/A
MRVL,first_entry | pyramid,2025-09-25 | 2025-09-29,$78.12 | $83.69,$80.39,$86.45,5.05%,-0.06%,1.71%,$890.31,7.5%,NO,SKIP,0.0x,$0,0,147,N/A
AAON,first_entry | pyramid,2025-07-31 | 2025-08-04,$81.54 | $82.00,$81.73,$94.04,1.96%,-0.08%,1.33%,$1809.44,15.1%,NO,SKIP,0.0x,$0,0,147,N/A
IBKR,pyramid,2025-09-29,$66.80,$66.80,$66.03,2.00%,-0.10%,0.70%,$-57.75,-1.2%,NO,SKIP,0.0x,$0,0,75,N/A
SLP,first_entry,2025-08-20,$14.07,$14.07,$17.31,1.37%,-0.16%,1.18%,$1610.28,23.0%,NO,SKIP,0.0x,$0,0,497,N/A
TRUE,first_entry | pyramid,2025-10-23 | 2025-10-27,$2.42 | $2.39,$2.41,$2.30,12.32%,-0.20%,0.22%,$-537.48,-4.5%,NO,SKIP,0.0x,$0,0,5004,N/A
CRESY,first_entry | pyramid,2025-10-31 | 2025-11-04,$11.90 | $12.15,$12.00,$11.63,7.13%,-0.31%,1.14%,$-370.48,-3.1%,NO,SKIP,0.0x,$0,0,999,N/A
ATRO,pyramid,2025-08-24,$36.36,$36.36,$52.15,4.05%,-0.35%,1.57%,$2163.23,43.4%,NO,SKIP,0.0x,$0,0,137,N/A
PRTA,first_entry | pyramid,2025-09-29 | 2025-10-03,$9.43 | $10.02,$9.67,$9.93,4.84%,-0.48%,1.47%,$326.50,2.7%,NO,SKIP,0.0x,$0,0,1243,N/A
STLD,first_entry | pyramid,2025-07-11 | 2025-08-28,$136.97 | $133.16,$135.35,$155.41,1.14%,-0.52%,0.96%,$1745.25,14.8%,NO,SKIP,0.0x,$0,0,87,N/A
LRCX,pyramid,2025-09-09,$104.91,$104.91,$148.26,1.90%,-0.55%,2.44%,$2037.45,41.3%,NO,SKIP,0.0x,$0,0,47,N/A
SVRA,first_entry | pyramid,2025-10-23 | 2025-10-27,$4.20 | $4.37,$4.27,$4.30,5.98%,-0.59%,1.23%,$90.08,0.7%,NO,SKIP,0.0x,$0,0,2849,N/A
ONEQ,first_entry | pyramid,2025-04-30 | 2025-05-04,$67.43 | $69.97,$68.47,$90.05,1.88%,-0.62%,0.44%,$3690.22,31.5%,NO,SKIP,0.0x,$0,0,171,N/A
QQQ,pyramid,2025-09-17,$591.10,$591.10,$608.86,1.10%,-0.64%,0.44%,$142.08,3.0%,NO,SKIP,0.0x,$0,0,8,N/A
RDNT,first_entry | pyramid,2025-10-23 | 2025-10-27,$80.33 | $83.39,$81.58,$75.15,2.83%,-0.66%,0.50%,$-931.64,-7.9%,NO,SKIP,0.0x,$0,0,145,N/A
RUSHA,first_entry,2025-08-24,$58.33,$58.33,$47.32,1.26%,-0.73%,-1.07%,$-1299.18,-18.9%,YES,SKIP,0.0x,$0,0,118,N/A
WLDN,first_entry,2025-10-27,$103.19,$103.19,$95.87,1.04%,-0.75%,-0.85%,$-497.76,-7.1%,NO,SKIP,0.0x,$0,0,68,N/A
CYBR,first_entry | pyramid,2025-07-31 | 2025-08-04,$429.65 | $414.63,$423.21,$487.93,2.54%,-0.86%,0.67%,$1812.08,15.3%,NO,SKIP,0.0x,$0,0,28,N/A
KLAC,first_entry | pyramid,2025-09-13 | 2025-09-17,$966.99 | $990.38,$976.74,$1134.32,3.09%,-0.93%,1.68%,$1891.01,16.1%,NO,SKIP,0.0x,$0,0,12,N/A
LAKE,first_entry | pyramid,2025-08-16 | 2025-08-24,$15.02 | $15.32,$15.14,$15.77,2.29%,-0.93%,0.62%,$495.15,4.1%,NO,SKIP,0.0x,$0,0,789,N/A
PANW,first_entry | pyramid,2025-09-09 | 2025-09-13,$197.69 | $198.05,$197.84,$205.25,1.59%,-0.97%,0.70%,$444.60,3.7%,NO,SKIP,0.0x,$0,0,60,N/A
AMAT,first_entry | pyramid,2025-09-17 | 2025-09-21,$174.25 | $193.19,$181.71,$226.01,3.60%,-1.07%,2.11%,$2923.72,24.4%,NO,SKIP,0.0x,$0,0,66,N/A
FLEX,first_entry | pyramid,2025-08-28 | 2025-09-01,$53.97 | $52.45,$53.34,$59.99,2.02%,-1.09%,0.88%,$1483.82,12.5%,NO,SKIP,0.0x,$0,0,223,N/A
SMH,first_entry | pyramid,2025-09-13 | 2025-09-17,$303.82 | $306.50,$304.92,$344.98,1.23%,-1.13%,1.14%,$1562.36,13.1%,NO,SKIP,0.0x,$0,0,39,N/A
SOXX,pyramid,2025-09-13,$255.20,$255.20,$288.52,1.06%,-1.15%,1.14%,$633.08,13.1%,NO,SKIP,0.0x,$0,0,19,N/A
VSEC,first_entry | pyramid,2025-10-27 | 2025-10-31,$183.78 | $177.15,$181.03,$171.20,3.77%,-1.24%,0.38%,$-638.69,-5.4%,NO,SKIP,0.0x,$0,0,65,N/A
RMBS,first_entry | pyramid,2025-05-08 | 2025-05-12,$52.02 | $55.17,$53.33,$95.25,1.62%,-1.25%,1.57%,$9850.35,78.6%,NO,SKIP,0.0x,$0,0,235,N/A
GPRE,first_entry,2025-10-19,$11.17,$11.17,$9.69,2.97%,-1.27%,0.02%,$-926.48,-13.2%,NO,SKIP,0.0x,$0,0,626,N/A
ASML,pyramid,2025-09-09,$795.20,$795.20,$1006.98,1.46%,-1.31%,1.72%,$1270.68,26.6%,NO,SKIP,0.0x,$0,0,6,N/A
AMD,first_entry | pyramid,2025-10-03 | 2025-10-07,$170.68 | $214.85,$186.99,$246.81,4.38%,-1.34%,2.99%,$3888.37,32.0%,NO,SKIP,0.0x,$0,0,65,N/A
PTEN,first_entry | pyramid,2025-10-23 | 2025-10-27,$6.55 | $6.76,$6.63,$5.98,3.80%,-1.34%,0.65%,$-1244.19,-9.8%,NO,SKIP,0.0x,$0,0,1905,N/A
NVDA,first_entry | pyramid,2025-10-03 | 2025-10-07,$189.19 | $186.23,$187.97,$190.17,1.87%,-1.39%,0.68%,$138.70,1.2%,NO,SKIP,0.0x,$0,0,63,N/A
STRL,first_entry | pyramid,2025-04-10 | 2025-04-14,$128.87 | $139.44,$133.19,$338.66,1.68%,-1.51%,1.55%,$18081.00,154.3%,NO,SKIP,0.0x,$0,0,88,N/A
ALNT,first_entry | pyramid,2025-08-24 | 2025-10-15,$46.66 | $53.10,$49.18,$53.00,2.17%,-1.59%,1.00%,$935.06,7.8%,NO,SKIP,0.0x,$0,0,245,N/A
AVGO,first_entry,2025-10-31,$378.27,$378.27,$342.46,1.69%,-1.69%,0.64%,$-644.58,-9.5%,NO,SKIP,0.0x,$0,0,18,N/A
IESC,first_entry,2025-10-27,$439.50,$439.50,$364.71,1.69%,-1.69%,0.59%,$-1196.64,-17.0%,NO,SKIP,0.0x,$0,0,16,N/A
ON,first_entry,2025-10-19,$53.35,$53.35,$46.92,2.02%,-1.90%,0.02%,$-855.19,-12.1%,NO,SKIP,0.0x,$0,0,133,N/A
OMER,first_entry | pyramid,2025-10-19 | 2025-10-23,$7.97 | $7.93,$7.95,$7.87,19.98%,-2.00%,3.84%,$-125.10,-1.0%,NO,SKIP,0.0x,$0,0,1509,N/A
IDCC,first_entry | pyramid,2025-07-31 | 2025-08-04,$252.09 | $258.43,$254.65,$348.44,2.83%,-2.08%,1.58%,$4407.99,36.8%,NO,SKIP,0.0x,$0,0,47,N/A
TQQQ,first_entry | pyramid,2025-09-13 | 2025-09-17,$97.64 | $98.89,$98.15,$104.74,2.44%,-2.18%,1.14%,$803.70,6.7%,NO,SKIP,0.0x,$0,0,122,N/A
III,first_entry,2025-11-04,$6.06,$6.06,$5.25,1.23%,-2.26%,0.37%,$-933.93,-13.4%,NO,SKIP,0.0x,$0,0,1153,N/A
KRNT,first_entry,2025-10-27,$14.43,$14.43,$12.70,1.03%,-3.34%,-0.66%,$-851.16,-12.0%,NO,SKIP,0.0x,$0,0,492,N/A
MGNX,first_entry,2025-10-23,$1.92,$1.92,$1.50,2.75%,-3.38%,-0.55%,$-1507.38,-21.9%,NO,SKIP,0.0x,$0,0,3589,N/A
FTAI,first_entry,2025-10-31,$186.18,$186.18,$158.30,1.70%,-4.03%,0.34%,$-1031.56,-15.0%,NO,SKIP,0.0x,$0,0,37,N/A
NGNE,first_entry | pyramid,2025-10-03 | 2025-10-07,$21.21 | $23.02,$21.92,$22.77,5.90%,-4.20%,3.16%,$465.48,3.9%,NO,SKIP,0.0x,$0,0,549,N/A
PACB,pyramid,2025-10-03,$1.43,$1.43,$1.61,3.71%,-4.70%,2.77%,$629.28,12.6%,NO,SKIP,0.0x,$0,0,3496,N/A
ANGI,first_entry,2025-08-08,$18.82,$18.82,$10.84,2.38%,-5.72%,-2.34%,$-2952.60,-42.4%,YES,SKIP,0.0x,$0,0,370,N/A
AXON,first_entry,2025-10-31,$745.00,$745.00,$554.37,2.25%,-7.82%,-0.90%,$-1715.67,-25.6%,NO,SKIP,0.0x,$0,0,9,N/A
